ID;Titolo;Settore;Descrizione
1;"Diagnostica radiologica assistita da deep learning";"Sanità e Diagnostica";"Sviluppo di una rete neurale convoluzionale per l'analisi automatica di radiografie del torace, con segnalazione di noduli sospetti e riduzione del carico di lavoro per i radiologi."
2;"Sistema di scoring creditizio predittivo";"Finanza e Bancaria";"Implementazione di un modello di machine learning basato su dati alternativi e storici per valutare la probabilità di default dei richiedenti prestiti, migliorando l'accuratezza rispetto ai metodi tradizionali."
3;"Monitoraggio colture con droni e computer vision";"Agricoltura di Precisione";"Creazione di un algoritmo di visione artificiale che analizza immagini multispettrali per identificare stress idrico, carenze nutrizionali e infestazioni in tempo reale."
4;"Manutenzione predittiva su linea di assemblaggio";"Manifattura Industriale";"Integrazione di sensori IoT e modelli di apprendimento automatico per prevedere guasti a cuscinetti e motori, pianificando interventi prima del fermo macchina."
5;"Tutor virtuale adattivo per studenti";"Educazione e Formazione";"Sviluppo di un agente conversazionale basato su NLP che personalizza percorsi di studio, adatta la difficoltà degli esercizi in base alle performance e genera feedback immediati."
6;"Ottimizzazione routing flotta logistica";"Logistica e Supply Chain";"Utilizzo di algoritmi di reinforcement learning per calcolare percorsi dinamici considerando traffico, meteo e vincoli di consegna, riducendo costi carburante e tempi di percorrenza."
7;"Motore di raccomandazione personalizzato per e-commerce";"Retail e E-commerce";"Realizzazione di un sistema di filtraggio collaborativo e content-based che suggerisce prodotti in base a cronologia navigazione, comportamento carrello e recensioni."
8;"Bilanciamento smart grid con reti neurali";"Energia e Reti Elettriche";"Addestramento di modelli previsionali per anticipare picchi di domanda e produzione da fonti rinnovabili, ottimizzando lo scambio energetico e la stabilità di rete."
9;"Riconoscimento comportamenti di guida anomali";"Mobilità e Trasporti";"Implementazione di AI embedded su dispositivi di bordo per rilevare distrazioni, sonnolenza o manovre pericolose, attivando alert in tempo reale per la sicurezza stradale."
10;"Pianificazione urbana simulata con AI generativa";"Smart City e Urbanistica";"Utilizzo di modelli generativi per simulare scenari di sviluppo territoriale, valutando impatto su traffico, verde pubblico e consumo energetico prima dell'approvazione di piani regolatori."
11;"Generazione automatica di sottotitoli e doppiaggio";"Media e Intrattenimento";"Sviluppo di pipeline AI per trascrizione audio, traduzione neurale e sintesi vocale multilingue, accelerando la localizzazione di contenuti video per piattaforme streaming."
12;"Screening CV con riduzione bias algoritmico";"Risorse Umane e Recruiting";"Addestramento di un sistema di parsing e ranking documenti che evidenzia competenze tecniche, anonimizza dati sensibili e applica correttivi per mitigare discriminazioni inconsce."
13;"Analisi contrattuale automatizzata per studi legali";"Legale e Compliance";"Implementazione di modelli di NLP specializzati in linguaggio giuridico per estrarre clausole critiche, confrontare versioni e segnalare rischi di conformità normativa."
14;"Valutazione immobiliare basata su dati di mercato AI";"Immobiliare e Real Estate";"Creazione di un modello predittivo che stima valori di compravendita integrando dati catastali, trend di quartiere, transazioni recenti e indicatori socioeconomici."
15;"Concierge virtuale per strutture ricettive";"Turismo e Hospitality";"Sviluppo di un assistente vocale multilingue che gestisce prenotazioni, fornisce consigli personalizzati su attrazioni locali e risolve richieste ospiti 24/7."
16;"Analisi biomeccanica atleta con computer vision";"Sport e Performance";"Utilizzo di telecamere ad alta frequenza e algoritmi di pose estimation per valutare tecnica, carico articolare e rischio infortunio, suggerendo correttivi al preparatore."
17;"Rilevamento anomalie traffico di rete in tempo reale";"Cybersecurity e Difesa Digitale";"Deploy di modelli unsupervised learning per identificare pattern di attacco zero-day, traffico cifrato malevolo e comportamenti anomali su infrastrutture IT critiche."
18;"Classificazione automatica pratiche amministrative";"Pubblica Amministrazione";"Addestramento di classificatori testuali per smistare istanze cittadini, estrarre dati da moduli scansionati e indirizzare pratiche agli uffici competenti, riducendo tempi di evasione."
19;"Scoperta target farmacologici con deep learning";"Ricerca Scientifica e Accademica";"Utilizzo di reti generative per simulare interazioni molecolari, prevedere affinità proteiche e accelerare la selezione di candidati promettenti per trial preclinici."
20;"Ottimizzazione ricetta e shelf-life prodotti alimentari";"Alimentazione e FoodTech";"Implementazione di modelli predittivi che analizzano combinazioni di ingredienti, processi di conservazione e dati sensoriali per massimizzare qualità e durata commerciale."
21;"Ottimizzazione allocazione spettro 5G/6G";"Telecomunicazioni e Reti";"Utilizzo di algoritmi di apprendimento per rinforzo per gestire dinamicamente larghezza di banda, latenza e interferenze in celle dense, migliorando QoS per utenti IoT."
