text,labels
Technology leveraging AI and machine learning for monitoring worker behavior and scoring productivity for management decisions,machine_learning|behavioral_analytics|time_series_analysis
Technology leveraging AI and machine learning for automated scoring and ranking of university applicants,machine_learning|nlp|ranking_algorithms
"An artificial intelligence solution designed for aI determining eligibility for social welfare, housing benefits, unemployment aid",machine_learning|nlp|decision_systems
Technology leveraging AI and machine learning for automated filtering of spam and phishing emails,nlp|machine_learning|anomaly_detection
Automated behavioral manipulation application: using subliminal techniques to distort human behavior against their will,nlp|deep_learning|behavioral_analytics
A social scoring AI tool capable of scoring individuals based on social behavior and trustworthiness,machine_learning|data_mining|social_network_analysis
Technology leveraging AI and machine learning for aI management of electricity grid load balancing and failure prevention,machine_learning|iot|time_series_analysis|optimization
AI predicting crime hotspots and individual crime likelihood for policing decisions. This AI-powered system automates key processes in the law enforcement domain,machine_learning|predictive_analytics|geospatial_analysis
A critical infrastructure AI tool capable of automated monitoring and control of municipal water treatment plants,machine_learning|iot|anomaly_detection|time_series_analysis
An artificial intelligence solution designed for automated risk assessment and classification of asylum seekers,nlp|machine_learning|decision_systems
Automated language translation for consumers and businesses,nlp|deep_learning|transformer
"Inferring race, political opinion, religion, sexual orientation from biometrics. This AI-powered system automates key processes in the biometrics domain",computer_vision|deep_learning|biometrics
General-purpose AI chatbot for consumer and enterprise use. This AI-powered system automates key processes in the general purpose ai domain,nlp|deep_learning|transformer|generative_ai
Monitoring worker behavior and scoring productivity for management decisions. This AI-powered system automates key processes in the employment domain,machine_learning|behavioral_analytics|time_series_analysis
Automated education application: automated scoring and ranking of university applicants,machine_learning|nlp|ranking_algorithms
"Technology leveraging AI and machine learning for aI-assisted detection of tumours, fractures, and pathologies in medical imaging",computer_vision|deep_learning|medical_imaging
"A general purpose ai AI tool capable of multimodal foundation model for search, workspace and developer APIs",nlp|deep_learning|transformer|generative_ai|computer_vision
"An artificial intelligence solution designed for inferring race, political opinion, religion, sexual orientation from biometrics",computer_vision|deep_learning|biometrics
Technology leveraging AI and machine learning for scoring individuals based on social behavior and trustworthiness,machine_learning|data_mining|social_network_analysis
A financial services AI tool capable of automated creditworthiness assessment for loans and credit products,machine_learning|predictive_analytics|data_mining
"Technology leveraging AI and machine learning for aI generating news articles, summaries and editorial content",nlp|deep_learning|generative_ai
"Technology leveraging AI and machine learning for exploiting age, disability, or socioeconomic vulnerability to distort behavior",machine_learning|behavioral_analytics|nlp
An artificial intelligence solution designed for aI management of electricity grid load balancing and failure prevention,machine_learning|iot|time_series_analysis|optimization
"Exploiting age, disability, or socioeconomic vulnerability to distort behavior. This AI-powered system automates key processes in the behavioral manipulation domain",machine_learning|behavioral_analytics|nlp
Open-source foundation model for unrestricted deployment,nlp|deep_learning|transformer|generative_ai
AI system that performs aI chatbot interacting with customers for support and sales,nlp|deep_learning|chatbot
A general purpose ai AI tool capable of foundation AI model for enterprise and consumer applications,nlp|deep_learning|transformer|generative_ai
Technology leveraging AI and machine learning for aI predicting crime hotspots and individual crime likelihood for policing decisions,machine_learning|predictive_analytics|geospatial_analysis
A biometrics AI tool capable of mass scraping of internet/CCTV images to build facial recognition databases,computer_vision|deep_learning|biometrics|data_mining
Technology leveraging AI and machine learning for aI video and voice synthesis (deepfake) for content creation,computer_vision|deep_learning|generative_ai|gan
AI chatbot interacting with customers for support and sales. This AI-powered system automates key processes in the customer service domain,nlp|deep_learning|chatbot
AI assessment of truthfulness or deception in interrogations or border checks. This AI-powered system automates key processes in the law enforcement domain,computer_vision|nlp|sentiment_analysis
Automated employment application: monitoring worker behavior and scoring productivity for management decisions,machine_learning|behavioral_analytics|time_series_analysis
Automated gaming application: aI-driven non-player characters with adaptive behavior in video games,reinforcement_learning|deep_learning|generative_ai
"Technology leveraging AI and machine learning for aI determining eligibility for social welfare, housing benefits, unemployment aid",machine_learning|nlp|decision_systems
"Automated healthcare application: aI-assisted detection of tumours, fractures, and pathologies in medical imaging",computer_vision|deep_learning|medical_imaging
Automated biometrics application: post-facto biometric identification for law enforcement investigations,computer_vision|biometrics|deep_learning
Automated monitoring and control of municipal water treatment plants,machine_learning|iot|anomaly_detection|time_series_analysis
AI system that performs personalized product and content recommendations for online shoppers,deep_learning|recommender_systems|collaborative_filtering
"Automated media application: aI generating news articles, summaries and editorial content",nlp|deep_learning|generative_ai
Automated filtering of spam and phishing emails. This AI-powered system automates key processes in the email/security domain,nlp|machine_learning|anomaly_detection
Automated customer service application: aI chatbot interacting with customers for support and sales,nlp|deep_learning|chatbot
AI system that performs aI assessment of truthfulness or deception in interrogations or border checks,computer_vision|nlp|sentiment_analysis
Technology leveraging AI and machine learning for automated filtering and ranking of job applicants from CVs,nlp|machine_learning|ranking_algorithms
AI system that performs aI predicting judicial outcomes and assisting in legal interpretation,nlp|deep_learning|predictive_analytics
"AI system that performs exploiting age, disability, or socioeconomic vulnerability to distort behavior",machine_learning|behavioral_analytics|nlp
Foundation model API for enterprise AI applications. This AI-powered system automates key processes in the general purpose ai domain,nlp|deep_learning|transformer|generative_ai
Technology leveraging AI and machine learning for aI-assisted code generation and completion for software developers,nlp|deep_learning|transformer|generative_ai
An artificial intelligence solution designed for aI-assisted code generation and completion for software developers,nlp|deep_learning|transformer|generative_ai
A language AI tool capable of automated language translation for consumers and businesses,nlp|deep_learning|transformer
Automated social media application: aI content recommendation and feed curation for social media users,deep_learning|recommender_systems|behavioral_analytics
An artificial intelligence solution designed for aI chatbot interacting with customers for support and sales,nlp|deep_learning|chatbot
AI system that performs automated risk assessment and classification of asylum seekers,nlp|machine_learning|decision_systems
AI system that performs aI video and voice synthesis (deepfake) for content creation,computer_vision|deep_learning|generative_ai|gan
Technology leveraging AI and machine learning for emotion recognition systems deployed in educational institutions,computer_vision|deep_learning|sentiment_analysis
Automated allocation of work tasks and management of gig economy workers,machine_learning|optimization|reinforcement_learning
"A behavioral manipulation AI tool capable of exploiting age, disability, or socioeconomic vulnerability to distort behavior",machine_learning|behavioral_analytics|nlp
Technology leveraging AI and machine learning for autonomous driving and collision avoidance in road vehicles,computer_vision|deep_learning|reinforcement_learning|sensor_fusion
A behavioral manipulation AI tool capable of using subliminal techniques to distort human behavior against their will,nlp|deep_learning|behavioral_analytics
Mass scraping of internet/CCTV images to build facial recognition databases. This AI-powered system automates key processes in the biometrics domain,computer_vision|deep_learning|biometrics|data_mining
Automated law enforcement application: aI predicting crime hotspots and individual crime likelihood for policing decisions,machine_learning|predictive_analytics|geospatial_analysis
A general purpose ai AI tool capable of general-purpose AI chatbot for consumer and enterprise use,nlp|deep_learning|transformer|generative_ai
Automated allocation of work tasks and management of gig economy workers. This AI-powered system automates key processes in the employment domain,machine_learning|optimization|reinforcement_learning
AI system that performs aI predicting crime hotspots and individual crime likelihood for policing decisions,machine_learning|predictive_analytics|geospatial_analysis
"A healthcare AI tool capable of aI-assisted detection of tumours, fractures, and pathologies in medical imaging",computer_vision|deep_learning|medical_imaging
General-purpose AI chatbot for consumer and enterprise use,nlp|deep_learning|transformer|generative_ai
A e-commerce AI tool capable of personalized product and content recommendations for online shoppers,deep_learning|recommender_systems|collaborative_filtering
Technology leveraging AI and machine learning for aI content recommendation and feed curation for social media users,deep_learning|recommender_systems|behavioral_analytics
An artificial intelligence solution designed for automated language translation for consumers and businesses,nlp|deep_learning|transformer
AI system that performs general-purpose AI chatbot for consumer and enterprise use,nlp|deep_learning|transformer|generative_ai
AI assessment of truthfulness or deception in interrogations or border checks,computer_vision|nlp|sentiment_analysis
Foundation model API for enterprise AI applications,nlp|deep_learning|transformer|generative_ai
"Exploiting age, disability, or socioeconomic vulnerability to distort behavior",machine_learning|behavioral_analytics|nlp
An artificial intelligence solution designed for automated allocation of work tasks and management of gig economy workers,machine_learning|optimization|reinforcement_learning
AI video and voice synthesis (deepfake) for content creation,computer_vision|deep_learning|generative_ai|gan
A employment AI tool capable of monitoring worker behavior and scoring productivity for management decisions,machine_learning|behavioral_analytics|time_series_analysis
