text,label
Technology leveraging AI and machine learning for monitoring worker behavior and scoring productivity for management decisions,employment_ai
Technology leveraging AI and machine learning for automated scoring and ranking of university applicants,education_ai
"An artificial intelligence solution designed for aI determining eligibility for social welfare, housing benefits, unemployment aid",public_services
Technology leveraging AI and machine learning for automated filtering of spam and phishing emails,cybersecurity
Automated behavioral manipulation application: using subliminal techniques to distort human behavior against their will,behavioral_manipulation
A social scoring AI tool capable of scoring individuals based on social behavior and trustworthiness,social_scoring
Technology leveraging AI and machine learning for aI management of electricity grid load balancing and failure prevention,critical_infrastructure
AI predicting crime hotspots and individual crime likelihood for policing decisions. This AI-powered system automates key processes in the law enforcement domain,law_enforcement
A critical infrastructure AI tool capable of automated monitoring and control of municipal water treatment plants,critical_infrastructure
An artificial intelligence solution designed for automated risk assessment and classification of asylum seekers,law_enforcement
Automated language translation for consumers and businesses,nlp_ai
"Inferring race, political opinion, religion, sexual orientation from biometrics. This AI-powered system automates key processes in the biometrics domain",biometrics
General-purpose AI chatbot for consumer and enterprise use. This AI-powered system automates key processes in the general purpose ai domain,general_purpose_ai
Monitoring worker behavior and scoring productivity for management decisions. This AI-powered system automates key processes in the employment domain,employment_ai
Automated education application: automated scoring and ranking of university applicants,education_ai
"Technology leveraging AI and machine learning for aI-assisted detection of tumours, fractures, and pathologies in medical imaging",healthcare_ai
"A general purpose ai AI tool capable of multimodal foundation model for search, workspace and developer APIs",general_purpose_ai
"An artificial intelligence solution designed for inferring race, political opinion, religion, sexual orientation from biometrics",biometrics
Technology leveraging AI and machine learning for scoring individuals based on social behavior and trustworthiness,social_scoring
A financial services AI tool capable of automated creditworthiness assessment for loans and credit products,fintech
"Technology leveraging AI and machine learning for aI generating news articles, summaries and editorial content",generative_ai
"Technology leveraging AI and machine learning for exploiting age, disability, or socioeconomic vulnerability to distort behavior",behavioral_manipulation
An artificial intelligence solution designed for aI management of electricity grid load balancing and failure prevention,critical_infrastructure
"Exploiting age, disability, or socioeconomic vulnerability to distort behavior. This AI-powered system automates key processes in the behavioral manipulation domain",behavioral_manipulation
Open-source foundation model for unrestricted deployment,general_purpose_ai
AI system that performs aI chatbot interacting with customers for support and sales,conversational_ai
A general purpose ai AI tool capable of foundation AI model for enterprise and consumer applications,general_purpose_ai
