ID;Titolo;Settore;Descrizione
1;"Riqualificazione ex opificio";"Edilizia e Patrimonio Culturale";"Recupero strutturale e funzionale di un ex stabilimento industriale da riconvertire in centro culturale, con auditorium, laboratori artistici e spazi per coworking."
2;"Irrigazione solare per viticoltura";"Agricoltura Sostenibile";"Progettazione e installazione di un sistema di irrigazione a goccia alimentato da pannelli fotovoltaici, ottimizzato per piccoli appezzamenti vitivinicoli in zone collinari."
3;"Monitoraggio pressione portatile";"Dispositivi Medici";"Sviluppo di un dispositivo meccanico-elettronico a basso costo per la misurazione autonoma della pressione arteriosa, destinato all'uso in ambulatori di zone rurali."
4;"Pista ciclabile sospesa";"Mobilità Urbana";"Realizzazione di un percorso ciclopedonale sopraelevato in acciaio e legno lamellare, progettato per connettere tre quartieri periferici al centro storico e ridurre la congestione veicolare."
5;"Laboratorio mobile scientifico";"Istruzione";"Allestimento di un veicolo attrezzato con strumentazione base di fisica, chimica e biologia per effettuare esperimenti pratici nelle scuole secondarie di aree montane isolate."
6;"Impianto geotermico residenziale";"Efficienza Energetica";"Installazione di sonde geotermiche a bassa entalpia e pompe di calore per la climatizzazione invernale ed estiva di un complesso universitario di 150 unità abitative."
7;"Bottega ceramica tradizionale";"Artigianato";"Riattivazione di un laboratorio per la produzione di ceramiche artistiche con metodi manuali e forni a legna, integrato con corsi di formazione per giovani artigiani."
8;"Piattaforma gestione orti urbani";"Software (Tradizionale)";"Sviluppo di un'applicazione web open source per la gestione condivisa di orti urbani, con funzionalità di mappatura, prenotazione turni e calendario delle coltivazioni basato su database relazionale."
9;"Microcredito giovani imprenditori";"Sviluppo Sociale";"Programma di accompagnamento, mentoring tecnico e erogazione di microfinanziamenti per l'avvio di attività commerciali in comuni con tasso di spopolamento superiore al 15%."
10;"Frangiflutto ecologico costiero";"Ingegneria Costiera";"Progettazione e posa di moduli in calcestruzzo poroso a forma di alveare, finalizzati alla mitigazione dell'erosione marina e alla creazione di habitat per la biodiversità ittica."
11;"Osservatorio astronomico didattico";"Divulgazione Scientifica";"Costruzione di una struttura cupola con sistema di rotazione meccanico e installazione di due telescopi rifrattori da 150mm, attrezzata per corsi pratici di astronomia per scuole e associazioni."
12;"Filiera corta lattiero-casearia";"Agroalimentare";"Organizzazione di una rete di produttori biologici, punti di distribuzione locali e logistica refrigerata per garantire la consegna di prodotti freschi entro 24 ore dalla lavorazione."
13;"Adeguamento sismico ponti";"Infrastrutture e Sicurezza";"Intervento di consolidamento strutturale su cinque ponti in muratura lungo una viabilità provinciale, con iniezioni di resine epossidiche, tiranti in acciaio e monitoraggio vibrazionale continuo."
14;"Archivio fotografico restaurato";"Conservazione Digitale e Fisica";"Catalogazione, pulizia e restauro conservativo di 12.000 lastre e stampe fotografiche d'epoca, con successiva digitalizzazione ad alta risoluzione e creazione di un database consultabile tramite interfaccia web."
15;"Raccolta rifiuti con sensori";"Gestione Ambientale";"Sostituzione dei cassonetti stradali con contenitori dotati di sensori ultrasonici di riempimento e ottimizzazione dei percorsi dei mezzi di raccolta tramite software di pianificazione logistica a regole fisse."
16;"Serre idroponiche comunitarie";"Agricoltura Urbana";"Costruzione di serre modulari per coltivazione idroponica in contesti urbani densi, con sistema di ricircolo acqua e gestione manuale dei nutrienti, gestite da cooperative di quartiere."
17;"Ponte pedonale in legno massello";"Infrastrutture Leggere";"Progettazione e realizzazione di un ponte pedonale in legno lamellare trattato, con fondazioni a plinti isolati, per collegare due sponde fluviali in area naturalistica protetta."
18;"Centro di primo soccorso montano";"Protezione Civile";"Allestimento di una struttura prefabbricata antisismica dotata di attrezzature mediche di base, generatore di emergenza e radio VHF per interventi in zone alpine isolate."
19;"Recupero varietà frutticole antiche";"Biodiversità Agricola";"Censimento, propagazione e reimpianto di cultivar locali di meli, peri e ciliegi a rischio estinzione, con creazione di un vivaio conservativo e schede tecniche per agricoltori."
20;"Impianto di compostaggio di comunità";"Gestione Rifiuti Organici";"Realizzazione di un'area attrezzata per il compostaggio aerobico di scarti vegetali domestici e di giardinaggio, con formazione per cittadini e distribuzione gratuita del compost prodotto."
21;"Rete di sentieri tematici storici";"Turismo Lento";"Segnalatura, manutenzione e valorizzazione di un percorso escursionistico di 45 km con pannelli illustrativi sulla storia locale, punti di sosta e mappe cartacee distribuite negli uffici turistici."
22;"Laboratorio di falegnameria sociale";"Inclusione Lavorativa";"Attivazione di un laboratorio attrezzato per corsi di falegnameria di base rivolti a persone in situazione di fragilità sociale, con produzione di arredi per spazi pubblici."
