ai_system_name,company_example,country_of_origin,risk_tier,article_reference,domain,use_case,compliance_deadline,compliance_status,fine_tier_eur,requires_conformity_assessment,requires_eu_database_registration,human_oversight_required,transparency_obligation,sector,affected_fundamental_rights,deployment_countries_eu,estimated_eu_users_affected,compliance_cost_estimate_eur,market_withdrawal_required,gpai_model,systemic_risk,enforcement_active,key_risk,annual_revenue_usd_bn,days_to_deadline,deadline_days,compliance_urgency
Social Credit Scoring System,ByteDance (Sesame Credit equivalent),China,Prohibited,Article 5(1)(c),Social Scoring,Scoring individuals based on social behavior and trustworthiness,2025-02-02,Banned,35M or 7% turnover,False,False,False,False,Government/Finance,"Human dignity, Non-discrimination, Privacy",3,0,0,True,False,True,True,Discriminatory social control,110.0,-400,-400,OVERDUE
Subliminal Manipulation Engine,Cambridge Analytica-style systems,USA,Prohibited,Article 5(1)(a),Behavioral Manipulation,Using subliminal techniques to distort human behavior against their will,2025-02-02,Banned,35M or 7% turnover,False,False,False,False,Political/Advertising,"Autonomy, Free will, Democracy",12,0,0,True,False,True,True,Manipulation of democratic processes,0.0,-400,-400,OVERDUE
Real-Time Public Facial Recognition,Clearview AI,USA,Prohibited,Article 5(1)(h),Biometrics,Real-time remote biometric identification in public spaces by private entities,2025-02-02,Banned,35M or 7% turnover,False,False,False,False,Law Enforcement/Security,"Privacy, Non-discrimination, Free movement",18,0,0,True,False,True,True,Mass surveillance,0.03,-400,-400,OVERDUE
Vulnerability Exploitation AI,Dark pattern ad targeting systems,Various,Prohibited,Article 5(1)(b),Behavioral Manipulation,"Exploiting age, disability, or socioeconomic vulnerability to distort behavior",2025-02-02,Banned,35M or 7% turnover,False,False,False,False,Advertising/Retail,"Human dignity, Protection of vulnerable groups",27,0,0,True,False,True,True,Exploitation of vulnerable persons,0.0,-400,-400,OVERDUE
Workplace Emotion Recognition System,Affectiva (iMotions),USA,Prohibited,Article 5(1)(f),Biometrics,Inferring emotions of employees in workplace settings,2025-02-02,Banned,35M or 7% turnover,False,False,False,False,HR/Enterprise,"Privacy, Worker rights, Dignity",15,0,0,True,False,False,True,Invasive workplace surveillance,0.1,-400,-400,OVERDUE
Classroom Emotion Surveillance,"HonorLock, Proctorio (emotion module)",USA,Prohibited,Article 5(1)(f),Education,Emotion recognition systems deployed in educational institutions,2025-02-02,Banned,35M or 7% turnover,False,False,False,False,Education,"Privacy, Children rights, Dignity",8,0,0,True,False,False,True,Mass student surveillance,0.05,-400,-400,OVERDUE
Biometric Characteristic Inference AI,"Faception, PimEyes",Israel/Poland,Prohibited,Article 5(1)(g),Biometrics,"Inferring race, political opinion, religion, sexual orientation from biometrics",2025-02-02,Banned,35M or 7% turnover,False,False,False,False,Security/Law Enforcement,"Non-discrimination, Privacy, Human dignity",6,0,0,True,False,True,True,Discriminatory profiling,0.02,-400,-400,OVERDUE
Untargeted Facial Recognition Scraping,Clearview AI (scraping module),USA,Prohibited,Article 5(1)(e),Biometrics,Mass scraping of internet/CCTV images to build facial recognition databases,2025-02-02,Banned,35M or 7% turnover,False,False,False,False,Law Enforcement,"Privacy, Data protection, Freedom of assembly",5,0,0,True,False,True,True,Covert mass biometric database creation,0.03,-400,-400,OVERDUE
Biometric Verification System (Airport),IDEMIA,France,High Risk,"Annex III, Item 1",Biometrics,Biometric verification of travellers at border control,2026-08-02,Must Comply,15M or 3% turnover,True,True,True,True,Travel/Security,"Privacy, Free movement",22,45000000,4200000,False,False,False,False,"Biometric data misuse, false positives",1.8,146,146,CRITICAL (<6mo)
Live Biometric Identification (Law Enforcement),Thales Group,France,High Risk,"Annex III, Item 1a",Biometrics,Post-facto biometric identification for law enforcement investigations,2026-08-02,Must Comply,15M or 3% turnover,True,True,True,True,Law Enforcement,"Privacy, Presumption of innocence",14,8000000,7500000,False,False,False,False,"Wrongful identification, civil liberties",19.4,146,146,CRITICAL (<6mo)
Smart Grid AI Management System,Siemens Energy AI,Germany,High Risk,"Annex III, Item 2",Critical Infrastructure,AI management of electricity grid load balancing and failure prevention,2026-08-02,In Progress,15M or 3% turnover,True,True,True,True,Energy,"Safety, Access to essential services",19,80000000,9800000,False,False,True,False,"Grid failure, cascading infrastructure collapse",36.0,146,146,CRITICAL (<6mo)
Water Treatment AI Monitor,Veolia AI Systems,France,High Risk,"Annex III, Item 2",Critical Infrastructure,Automated monitoring and control of municipal water treatment plants,2026-08-02,In Progress,15M or 3% turnover,True,True,True,True,Water/Utilities,"Right to life, Health, Safety",11,35000000,5600000,False,False,True,False,Contamination risk if AI fails,7.2,146,146,CRITICAL (<6mo)
AI Admission Scoring System,"Uniaid, various university tools",UK,High Risk,"Annex III, Item 3",Education,Automated scoring and ranking of university applicants,2026-08-02,Non-Compliant,15M or 3% turnover,True,True,True,True,Education,"Non-discrimination, Right to education, Fairness",16,2800000,1200000,False,False,False,False,Algorithmic bias in university access,0.15,146,146,CRITICAL (<6mo)
AI Student Performance Prediction,Knewton (Wiley),USA,High Risk,"Annex III, Item 3",Education,Predicting student academic outcomes to determine course placement,2026-08-02,In Progress,15M or 3% turnover,True,True,True,True,Education,"Non-discrimination, Education rights",20,5500000,2100000,False,False,False,False,Reinforcing educational inequality,1.9,146,146,CRITICAL (<6mo)
AI CV Screening & Recruitment Tool,"HireVue, Workday AI",USA,High Risk,"Annex III, Item 4",Employment,Automated filtering and ranking of job applicants from CVs,2026-08-02,Non-Compliant,15M or 3% turnover,True,True,True,True,HR/Recruitment,"Non-discrimination, Right to work, Fairness",27,28000000,3400000,False,False,False,False,Gender/race discrimination in hiring,0.45,146,146,CRITICAL (<6mo)
AI Employee Monitoring & Productivity Scoring,"Microsoft Viva Insights, Aware",USA,High Risk,"Annex III, Item 4b",Employment,Monitoring worker behavior and scoring productivity for management decisions,2026-08-02,In Progress,15M or 3% turnover,True,True,True,True,Enterprise Software,"Privacy, Worker dignity, Fair treatment",27,65000000,8900000,False,False,False,False,"Surveillance chilling effect, burnout",211.9,146,146,CRITICAL (<6mo)
AI Gig Worker Task Allocation System,"Uber Dispatch AI, Deliveroo Algorithm",USA/UK,High Risk,"Annex III, Item 4a",Employment,Automated allocation of work tasks and management of gig economy workers,2026-08-02,Non-Compliant,15M or 3% turnover,True,True,True,True,Gig Economy/Transport,"Fair working conditions, Non-discrimination",23,8500000,5700000,False,False,False,False,"Opaque deactivation, unfair task distribution",37.3,146,146,CRITICAL (<6mo)
AI Credit Scoring System,"FICO, Experian AI, Schufa",USA/Germany,High Risk,"Annex III, Item 5b",Financial Services,Automated creditworthiness assessment for loans and credit products,2026-08-02,In Progress,15M or 3% turnover,True,True,True,True,Finance/Banking,"Non-discrimination, Right to explanation, Financial inclusion",27,120000000,15000000,False,False,True,False,"Discriminatory lending, financial exclusion",1.4,146,146,CRITICAL (<6mo)
AI Insurance Risk Assessment,"Lemonade AI, Zurich Insurance AI",USA/Switzerland,High Risk,"Annex III, Item 5b",Insurance,Automated risk scoring for insurance pricing and coverage decisions,2026-08-02,In Progress,15M or 3% turnover,True,True,True,True,Insurance,"Non-discrimination, Access to services",22,95000000,6800000,False,False,False,False,Discriminatory pricing by demographics,2.1,146,146,CRITICAL (<6mo)
Social Benefit Eligibility AI,Various EU government systems,EU (various),High Risk,"Annex III, Item 5a",Public Services,"AI determining eligibility for social welfare, housing benefits, unemployment aid",2026-08-02,Non-Compliant,15M or 3% turnover,True,True,True,True,Government,"Social rights, Non-discrimination, Dignity",21,42000000,11000000,False,False,True,False,Wrongful benefit denial to vulnerable groups,0.0,146,146,CRITICAL (<6mo)
Predictive Policing System,"PredPol (Geolitica), SAS Crime AI",USA,High Risk,"Annex III, Item 6",Law Enforcement,AI predicting crime hotspots and individual crime likelihood for policing decisions,2026-08-02,Non-Compliant,15M or 3% turnover,True,True,True,True,Law Enforcement,"Presumption of innocence, Non-discrimination, Fair trial",9,18000000,4400000,False,False,True,False,"Racial profiling, self-fulfilling crime loops",0.08,146,146,CRITICAL (<6mo)
AI Lie Detection / Credibility Assessment,"iBorderCtrl (EU-funded, discontinued)",EU,High Risk,"Annex III, Item 6a",Law Enforcement,AI assessment of truthfulness or deception in interrogations or border checks,2026-08-02,Non-Compliant,15M or 3% turnover,True,True,True,True,Border Control/Law Enforcement,"Fair trial, Presumption of innocence, Human dignity",4,500000,900000,False,False,False,False,Pseudoscience-based wrongful accusation,0.01,146,146,CRITICAL (<6mo)
AI Asylum Application Risk Classifier,EU Member State border AI tools,EU (various),High Risk,"Annex III, Item 7",Migration,Automated risk assessment and classification of asylum seekers,2026-08-02,Non-Compliant,15M or 3% turnover,True,True,True,True,Border Control,"Right to asylum, Non-refoulement, Non-discrimination",13,1200000,3800000,False,False,False,False,"Wrongful deportation, rights violations",0.0,146,146,CRITICAL (<6mo)
AI Legal Research & Case Outcome Predictor,"Kira Systems, Luminance, Lex Machina",Canada/UK/USA,High Risk,"Annex III, Item 8",Justice,AI predicting judicial outcomes and assisting in legal interpretation,2026-08-02,In Progress,15M or 3% turnover,True,True,True,True,Legal,"Fair trial, Rule of law, Access to justice",18,3500000,2900000,False,False,False,False,Algorithmic influence on judicial independence,0.28,146,146,CRITICAL (<6mo)
AI Diagnostic Imaging System (Radiology),"Siemens Healthineers AI-Rad, Aidoc",Germany/Israel,High Risk,Annex I (MDR) + Article 6(1),Healthcare,"AI-assisted detection of tumours, fractures, and pathologies in medical imaging",2027-08-02,In Progress,15M or 3% turnover,True,True,True,True,Healthcare,"Right to life, Health, Informed consent",24,22000000,18000000,False,False,False,False,"Misdiagnosis, false negatives in cancer detection",21.0,511,511,FUTURE
AI Clinical Decision Support System,"IBM Watson Health (DoQuMed), Philips IntelliSite",USA/Netherlands,High Risk,Annex I (MDR) + Article 6(1),Healthcare,AI recommending drug dosages and treatment protocols to clinicians,2027-08-02,In Progress,15M or 3% turnover,True,True,True,True,Healthcare,"Right to life, Health, Informed consent",21,31000000,24000000,False,False,False,False,Incorrect treatment recommendation,7.8,511,511,FUTURE
AI Mental Health Triage System,"Wysa, Limbic (NHS-approved)",India/UK,High Risk,"Annex III, Item 5 + MDR",Healthcare,AI assessing mental health severity and routing patients to appropriate care,2026-08-02,In Progress,15M or 3% turnover,True,True,True,True,Healthcare,"Right to health, Dignity, Privacy",12,9500000,3100000,False,True,False,False,"Missed suicidal ideation, data misuse",0.08,146,146,CRITICAL (<6mo)
Autonomous Vehicle Level 3+ AI,"Waymo, Mobileye (Intel)",USA/Israel,High Risk,Annex I (Vehicle Type Approval),Automotive,Autonomous driving and collision avoidance in road vehicles,2027-08-02,In Progress,15M or 3% turnover,True,True,True,True,Automotive,"Right to life, Safety",10,4200000,85000000,False,False,False,False,Fatal accident from AI failure,4.0,511,511,FUTURE
ChatGPT / Claude / Gemini (Consumer),"OpenAI, Anthropic, Google",USA,Limited Risk,Article 50,General Purpose AI,General-purpose AI chatbot for consumer and enterprise use,2026-08-02,In Progress,7.5M or 1% turnover (misinformation),False,False,False,True,Technology,"Transparency, Informed consent",27,185000000,2800000,False,True,True,False,"Misinformation, lack of AI disclosure",3.7,146,146,CRITICAL (<6mo)
AI Customer Service Chatbot,"Intercom Fin, Zendesk AI",USA,Limited Risk,Article 50(1),Customer Service,AI chatbot interacting with customers for support and sales,2026-08-02,Compliant,7.5M or 1% turnover,False,False,False,True,Enterprise Software,"Transparency, Consumer rights",27,210000000,450000,False,True,False,False,Consumers unaware they interact with AI,1.9,146,146,CRITICAL (<6mo)
