Description,Label
"Sviluppo di una rete neurale convoluzionale per l'analisi automatica di radiografie del torace, con segnalazione di noduli sospetti e riduzione del carico di lavoro per i radiologi.",ai
"Implementazione di un modello di machine learning basato su dati alternativi e storici per valutare la probabilità di default dei richiedenti prestiti, migliorando l'accuratezza rispetto ai metodi tradizionali.",ai
"Creazione di un algoritmo di visione artificiale che analizza immagini multispettrali per identificare stress idrico, carenze nutrizionali e infestazioni in tempo reale.",ai
"Integrazione di sensori IoT e modelli di apprendimento automatico per prevedere guasti a cuscinetti e motori, pianificando interventi prima del fermo macchina.",ai
"Sviluppo di un agente conversazionale basato su NLP che personalizza percorsi di studio, adatta la difficoltà degli esercizi in base alle performance e genera feedback immediati.",ai
"Utilizzo di algoritmi di reinforcement learning per calcolare percorsi dinamici considerando traffico, meteo e vincoli di consegna, riducendo costi carburante e tempi di percorrenza.",ai
"Realizzazione di un sistema di filtraggio collaborativo e content-based che suggerisce prodotti in base a cronologia navigazione, comportamento carrello e recensioni.",ai
"Addestramento di modelli previsionali per anticipare picchi di domanda e produzione da fonti rinnovabili, ottimizzando lo scambio energetico e la stabilità di rete.",ai
"Implementazione di AI embedded su dispositivi di bordo per rilevare distrazioni, sonnolenza o manovre pericolose, attivando alert in tempo reale per la sicurezza stradale.",ai
"Utilizzo di modelli generativi per simulare scenari di sviluppo territoriale, valutando impatto su traffico, verde pubblico e consumo energetico prima dell'approvazione di piani regolatori.",ai
"Sviluppo di pipeline AI per trascrizione audio, traduzione neurale e sintesi vocale multilingue, accelerando la localizzazione di contenuti video per piattaforme streaming.",ai
"Addestramento di un sistema di parsing e ranking documenti che evidenzia competenze tecniche, anonimizza dati sensibili e applica correttivi per mitigare discriminazioni inconsce.",ai
"Implementazione di modelli di NLP specializzati in linguaggio giuridico per estrarre clausole critiche, confrontare versioni e segnalare rischi di conformità normativa.",ai
"Creazione di un modello predittivo che stima valori di compravendita integrando dati catastali, trend di quartiere, transazioni recenti e indicatori socioeconomici.",ai
"Sviluppo di un assistente vocale multilingue che gestisce prenotazioni, fornisce consigli personalizzati su attrazioni locali e risolve richieste ospiti 24/7.",ai
"Utilizzo di telecamere ad alta frequenza e algoritmi di pose estimation per valutare tecnica, carico articolare e rischio infortunio, suggerendo correttivi al preparatore.",ai
"Deploy di modelli unsupervised learning per identificare pattern di attacco zero-day, traffico cifrato malevolo e comportamenti anomali su infrastrutture IT critiche.",ai
"Addestramento di classificatori testuali per smistare istanze cittadini, estrarre dati da moduli scansionati e indirizzare pratiche agli uffici competenti, riducendo tempi di evasione.",ai
"Utilizzo di reti generative per simulare interazioni molecolari, prevedere affinità proteiche e accelerare la selezione di candidati promettenti per trial preclinici.",ai
"Implementazione di modelli predittivi che analizzano combinazioni di ingredienti, processi di conservazione e dati sensoriali per massimizzare qualità e durata commerciale.",ai
"Utilizzo di algoritmi di apprendimento per rinforzo per gestire dinamicamente larghezza di banda, latenza e interferenze in celle dense, migliorando QoS per utenti IoT.",ai
"Sviluppo di pipeline di sentiment analysis e computer vision su immagini social per anticipare colori, silhouettes e materiali in voga, supportando decisioni di collezione.",ai
"Addestramento di modelli inpainting AI per ricostruire digitalmente parti mancanti di affreschi o tele, supportando restauratori con ipotesi scientifiche e documentazione interattiva.",ai
Implementazione di algoritmi di computer vision su dati radar e telescopici per prevedere traiettorie di space debris e ottimizzare manovre evasive di satelliti operativi.,ai
"Sviluppo di modelli di audio classification per analizzare registrazioni da sensori acustici su tubazioni, identificando firme sonore di micro-fuoriuscite prima di rotture critiche.",ai
"Creazione di un sistema di supporto decisionale che analizza ecografie e radiografie animali, segnalando anomalie scheletriche, organi o tessuti molli per i clinici.",ai
"Implementazione di un agente conversazionale basato su NLP etico e validato clinicamente che offre tecniche di grounding, monitoraggio dell'umore e triage verso professionisti.",ai
"Utilizzo di algoritmi di ottimizzazione combinatoria e machine learning per pianificare turni, fornitori e attrezzature, minimizzando ritardi e sprechi di materiale.",ai
"Sviluppo di pipeline di AI generativa per creare varianti di copy, immagini e video testati automaticamente, ottimizzando CTR e conversioni per campagne cross-channel.",ai
"Implementazione di un sistema di speech-to-text e NLU che diagnostica guasti da descrizione vocale, guida l'utente nella risoluzione e genera ticket strutturati.",ai
"Addestramento di modelli NLP su database di massime e decisioni per stimare esiti probabili, identificare precedenti rilevanti e supportare la redazione di atti difensivi.",ai
"Integrazione di reti neurali ricorrenti con dati meteo ad alta risoluzione per prevedere output turbine nelle successive 48 ore, ottimizando immissione in rete.",ai
Sviluppo di sistemi di computer vision e bracci robotici controllati da policy reinforcement learning per riconoscere e separare materiali riciclabili su nastri trasportatori ad alta velocità.,ai
"Implementazione di fusione sensoriale (radar, AIS, LiDAR) e algoritmi di path planning AI per ottimizzare rotte, evitare collisioni e ridurre consumo carburante in tratte definite.",ai
