old,descrizione,predicted_label
AI,SVILUPPO DI UNA PROCEDURA AUTOMATIZZATA DI CALIBRAZIONE DI SISTEMI DI VISIONE E GUIDA ROBOT 3D,ai
AI,Acquisizione di servizi innovativi per lo studio e la progettazione di un sistema di visione per il controllo automatico della qualità dei gropponi di cuoio e per l’interazione con il programma di taglio nel settore delle calzature.,non_ai
AI,IL PIANO D'IMPRESA PREVEDE L'INDUSTRIALIZZAZIONE DI UN MODELLO DI BANCA DATI E DI FRUIZIONE BASATI SU TECNOLOGIE DI TRATTAMENTO AUTOMATICO DELLA LINGUA,non_ai
AI,"Il progetto proposto nella presente idea e un progetto imprenditoriale emblematico in termini di sviluppo sia di un-azione economico commerciale che di un territorio, ma i due aspetti vanno analizzati all-unisono. Si ritiene infatti che la vision di",non_ai
AI,Sistema integrato di Analisi Comportamentale e Visione Aumentata per il miglioramento dellÂ¿offerta e della fruizione negli spazi museali e naturali - VEDI (Vision Exploitation for Data Interpretation),non_ai
AI,Sistema integrato di Analisi Comportamentale e Visione Aumentata per il miglioramento dellÂ¿offerta e della fruizione negli spazi museali e naturali - VEDI (Vision Exploitation for Data Interpretation),non_ai
AI,Sistema integrato di Analisi Comportamentale e Visione Aumentata per il miglioramento dellÂ¿offerta e della fruizione negli spazi museali e naturali - VEDI (Vision Exploitation for Data Interpretation),non_ai
AI,"Il progetto CORYL ROBOT prevede la realizzazione di un robot per la raccolta in campo delle nocciole, che opererà in autonomia e senza necessità di operatore a bordo.Si tratta di una tecnologia altamente innovativa, se paragonata alle attuali tecniche di raccolta delle nocciole, manuali oppure per via meccanica tradizionale, per mezzo di macchine trainate dalla trattrice agricola o semoventi con operatore a bordo.",non_ai
AI,"SVILUPPO DI UNA PIATTAFORMA E-LEARNING CON SISTEMA IN CLOUD, TRACCIABILITA' DEI PACCHETTI FORMATIVI, CYBERSECURITY PER LA PROTEZIONE DEI DATI",ai
AI,"progettazione di un sistema di simulazione per il monitoraggio, la pianificazione e l¿ottimizzazione della logistica mediante sistemi cyber.-fisici (dispositivi IOT, Digital Twin e tecniche di AI collaborativi). Il sistema consentirà di supportare le decisioni operative, tattiche e fornirà elementi di analisi per le evoluzioni strategiche del business aziendale.",ai
AI,"Ixemwine mira ad ottimizzare la produzione monitorando lo stato di salute dei vigneti con un sistema che utilizza una rete wireless autonoma di ricevitori IoT, implementabili con innovativi sistemi a lunga portata.",non_ai
AI,"Realizzazione di una piattaforma digitale di AI per aziende che vogliono creare automazione intelligente attraverso conversazioni in ogni canale di messaggistica e voice assistant, unificandone la gestione per favorire logiche di business offline.",ai
